Trade Date,Instrument,Position,Entry Price,Exit Price,Stop Loss,Take Profit,Lot Size,Result,Status,Profit/Loss
4/5/6789,Nasqa,Long,87998.0,45988.0,4099.0,435353.0,0.0045,Loss,Saved,-189.045
4/5/6789,Nasqa,Long,87998.0,45988.0,4099.0,435353.0,0.0045,Loss,Saved,-189.045
4/5/6789,Nasqa,Long,87998.0,45988.0,4099.0,435353.0,0.0045,Loss,Saved,-189.045
4/5/6789,Nasqa,Long,87998.0,45988.0,4099.0,435353.0,0.0045,Loss,Saved,-189.045
4/5/6789,Nasqa,Long,87998.0,45262256.0,4099.0,435353.0,0.0045,Loss,Saved,203284.161
4/5/6789,Nasqa,Long,87998.0,262562.0,4099.0,435353.0,0.0045,Loss,Saved,785.5379999999999
4/5/6789,Nasqa,Long,87998.0,26256254635.0,4099.0,435353.0,0.0045,Loss,Saved,118152749.86649999
4/5/6789,Nasqa,Long,87998.0,262562546353563.0,4099.0,435353.0,0.0045,Loss,Saved,1181531458195.0425
2/4/1990,daq,Long,2343.0,2345.0,4523.0,23442.0,2.0,Win,Saved,4.0
2/4/1990,daq,Long,2343.0,2345.0,4523.0,23442.0,2.0,Win,Saved,4.0
2/4/1990,daq,Long,2343.0,2345.0,4523.0,23442.0,2.0,Win,Saved,4.0
3/4/1890,daq,Short,324.0,235.0,2335.0,23525.0,2.0,Win,Saved,178.0
6/7/1680,daq,Short,1000.0,900.0,1250.0,200.0,2.0,Win,Saved,200.0
6/3/2021,usdchf,Long,1909.0,3945.0,1800.0,3945.0,1.0,Win,Saved,2036.0
6/5/2021,btc,Long,4567.89,2324.46334,3453.3455,4636.45,1.0,Loss,Saved,-2243.4266600000005
6/5/2021,btc,Long,4567.89,2324.46334,3453.3455,4636.45,1.0,Loss,Saved,-2243.4266600000005
6/5/2021,btc,Long,4567.89,2324.46334,3453.3455,4636.45,1.0,Loss,Saved,-2243.4266600000005
6/5/2021,btc,Long,4567.89,2324.46334,3453.3455,4636.45,1.0,Loss,Saved,-2243.4266600000005
6/5/2021,btc,Long,4567.89,2324.46334,3453.3455,4636.45,1.0,Loss,Saved,-2243.4266600000005
6/5/2021,btc,Long,4567.89,2324.46334,3453.3455,4636.45,1.0,Loss,Saved,-2243.4266600000005
45/452/556,daq,Short,2342.0,2353.0,2525.0,23453.0,3.0,Loss,Saved,-33.0
2/4/2004,daq,Short,3444.0,2442.0,2335.0,352.4345,0.09,Win,Saved,90.17999999999999
2/4/2004,daq,Short,3444.0,2442.0,2335.0,352.4345,0.09,Win,Saved,90.17999999999999
2/4/2004,daq,Short,3444.0,2442.0,2335.0,352.4345,0.09,Win,Saved,90.17999999999999
12/06/2002,daq,Long,2350.0,3450.0,2250.0,3490.0,1.0,Win,Saved,1100.0
12/06/2002,daq,Long,2350.0,3450.0,2250.0,3490.0,1.0,Win,Saved,1100.0
12/06/2002,daq,Long,2350.0,3450.0,2250.0,3490.0,1.0,Win,Saved,1100.0
12/06/2002,daq,Long,2350.0,3450.0,2250.0,3490.0,1.0,Win,Saved,1100.0
12/06/2002,daq,Long,2350.0,3450.0,2250.0,3490.0,1.0,Win,Saved,1100.0
12/06/2002,daq,Long,2350.0,3450.0,2250.0,3490.0,1.0,Win,Saved,1100.0
12/06/2002,daq,Long,2350.0,3450.0,2250.0,3490.0,1.0,Win,Saved,1100.0
12/06/2002,daq,Long,2350.0,3450.0,2250.0,3490.0,1.0,Win,Saved,1100.0
12/06/2002,daq,Long,2350.0,3450.0,2250.0,3490.0,1.0,Win,Saved,1100.0
12/06/2002,daq,Long,2350.0,3450.0,2250.0,3490.0,1.0,Win,Saved,1100.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
5/9/09,dow,Short,3456.0,8778.0,8778.0,76787.0,1.0,Loss,Saved,-5322.0
4/7/2190,dow,Long,6757.0,8797.0,6789.0,78990.0,2.0,Win,Saved,4080.0
2/19/2025,dow jones,Long,5878.0,8797.0,5646.0,65890.0,2.0,Win,Saved,5838.0
